names,stars,dates,clicks,reviews
Poorvansh Singh,5,2021-03-17,4,App is above 5 star... This app is wowly providing almost all features.... Only in 3 mb..😊hatsoff😊
Prkrtr,2,2021-03-31,4,"Long press on story button does not give ""add story"" option."
Partha Chatterjee,2,2021-04-12,5,Plzz support reelss we can't seee reelss if someone else sends or either way and the feature of video call plz
Àñú๛GODツ,4,2021-02-12,15,Thanks for Adding Reals But why you not added Black Theme Please Add Black Theme Black Theme look Beautiful I hope you Added Soon 🙂
parth dave,5,2021-03-11,4,It's really worth... wonderful app...all modes are included in it...
Ashish Shukla,2,2021-02-24,5,I would request Instagram community to please fix all bug and please give dark mode option.
Adarsh Prajapati,1,2021-04-01,0,It needs lot of modification and it works too slow
Raheem Tariq,3,2021-02-17,3,Why i can't refresh my feed? What the hell is this going on??
Salami Zainab oyinkansola,5,2021-04-17,2,I really love this app It's fast and easy to operate
Lynette Pulgo,5,2021-04-23,0,Thanks to this apps cuz I can post my pic now.♡ Because in real ig app I can't post it I don't know why.
Sameer Khan,5,2021-04-21,0,Very nice app but some time slow work
thatawesamgirl,2,2021-04-22,0,"it still autoplays videos on your feed, what's the point?"
Status_Hub,4,2021-02-18,9,Highlight option is not there I want to put highlights pls put the highlight option...🙏then pls put dark mode ..
All in One India,3,2021-02-25,4,You adding insta reels option in this app but you are not add insta reels option in upload section please add and add dark mode
Namita Pathak,4,2021-03-20,8,Good App😊 but...... plz put some stickers and sometimes it's glitches 😑plz fix bugs
Nitesh Raj 123,3,2021-02-06,2,Instagram lite doesn't working properly . When using Instagram lite 10 mint's to 20 mint's Instagram lite automatic close
Ganesh Padikasu,2,2021-02-13,4,too much bugs ... really hard to use it for more than an hour 😓
Anubhav Sil,4,2021-04-03,0,crashes at times but its nice for timepass
Wedjeh Jam,4,2021-03-21,6,it very nice to use this app because it generate to another friend who are far and make it like a family
Perilous Person,2,2021-02-04,2,Good app..but too many problems Font not supportd Not split
Emilia T Shikomba,2,2021-03-25,4,"The only thing that is distracting me is, how to post a picture and set profile pic too😩"
Abbott Brandon,1,2021-04-14,0,"I can't send a message on the app, it keeps telling me error"
VIKRAM K. VIMAANI,5,2021-04-02,1,Lite version is also good... Thanks for launching this...Keep it up... Thank You Team Instagram
Erick Arévalo,1,2021-03-15,2,"So firsr Update getting on this sucks terribly, how can you screw up an app that started so well and stable, now Im not able to see newcoming messages"
Kofi Essilfie Dennis,5,2021-04-16,2,I love it because I want to see what is going on in and around the world of entertainment and the others.
Golla Udai,1,2021-03-27,5,dark mode is not working in lite version sometimes it shows something went wrong
Leeroy Mollo,2,2021-04-15,1,While posting a story why is there no option of music??
Iyo Ua0,1,2021-02-03,1,wasted my time downloading it . after installation. found it not so useful. hope they develope some areas in future..
Markvel Omamo,1,2021-03-20,6,Im trying to sign up but it keeps saying wait a few minutes before you try again
ARINDAM CHATTERJEE,5,2021-03-24,10,Very Very Good App and Smooth.. Editors Do more better.. Overall 4.5 rating coming soon
Lawrence Onyenike,1,2021-04-22,1,"This app is one of the worse application i have ever seen, Someone can't even chat with friends there, Go and upgrade this rubbish 🙄"
Wachid Henry,4,2021-04-20,0,4 stars first. Please add dark theme for this lite version
Unexplored Distance,1,2021-01-31,3,One of the worst app every time error when I want to follow someone it shows error.
Najiya P,3,2021-03-14,1,Three star i story photo in no music section and no text fonts and my friends video post in an i am add story option not allowed
ABEL SADOC,2,2021-03-24,3,The app is good but there is no option to stop auto play video
Royverse Stevens,5,2021-04-15,0,The app is great where by you can use less data
Prachi Bodhi AI,1,2021-04-01,0,Bakwas app....you can't add highlights and other exciting features that Instagram is providing...
Abhishek Singh,5,2021-03-09,6,Very good work 👍 easy and fast working app low storage 👍
OSHTO PROHOR,3,2021-02-19,2,Need more functions... searching isn't pretty.
mayank Sharmasharma,1,2021-04-01,0,Bloody app vary bad app my account is secure but without reason log out 30 days bloody hell👹👹👺🙋
Mick Majoni,4,2021-03-22,4,"good for not taking up space but add the ""add music"" function on stories i'll be happy"
Deepak Thakur,5,2021-02-05,12,Very nice app and no bug are found.
Avi as Lucifer,5,2021-02-25,1,It's great app for low space devices. One little more thing to do pls add night mode.
Nikunj Goyal,1,2021-02-09,2,Errors are at the peak. Do not download it
Muskan Mittal,5,2021-03-26,6,It is really nice to use and help in filled storage of phone
Carl OWUSU,5,2021-04-13,0,This ig is way beta than the original ig. N if sucks less data..
Steve Stark,1,2021-02-16,1,This app is full of bugs and I can't even write a full line in my bio Wttff😡
Ashutosh kumar Jha,1,2021-02-07,2,No data saver present lots of data approx 400 mb get used just using half hour😭
Hardik Sindwani,1,2021-04-09,2,Worst app after update ..when I see my profile pic or other profiles pic it doesn't show it shows only white images please improve app... please #wrost lite version
hero of creativity,5,2021-04-21,0,Hdsbtsf to you and your family are doing well and that is this the same aise sadhi to the world my bhua regards bhumika punjabi songs to you and good
Game Zone,1,2021-03-29,1,"The app doesnt show pictures,posts,dp like am offline or like am using free mode"
reality Zone,4,2021-02-24,2,It's good but it didn't have story feature as instagram if insta lite have story feature it's really good
Haziq Zikri,5,2021-03-02,4,Yes. Thank you Instagram. Finally Instagram Lite appear in play store Malaysia. But don't forget to add DARK MODE features 😬
aditya Agale,5,2021-04-24,0,Instagram icon reels not coming in my phone
Jovan Djukic,4,2021-04-07,0,Please add dark mode and I will transfer to insta lite completely...
Dreams true,1,2021-04-10,8,There is no option of video call and voice message can you plz do something
GIREESH KUMAR KUSHWAHA,1,2021-02-28,0,"Dear developer, please imporve in dark mode, i couldn't even read anything if my phone enable dark mode,"
Larisa Chan,3,2021-04-14,0,Great but I cannot upload any pictures or videos on story...why??
makie m,5,2021-04-03,1,"Consumes less data,Faster and gives me no problems"
Veer 18-1A04H5,1,2021-04-14,0,No dark mode .some postsade unavailable in chat
H D,5,2021-02-18,1,Please do the changes of different frame style and different handwritings
Creations of Sourav,1,2021-03-17,2,This app is very useful for me....but.....I can't see the massages in inbox......... clearly........ every thing is white in the inbox ......so I can't reply my friends massages
Sachin Sheoran,1,2021-04-24,0,Messenger is not opening properly
NINJA GAMER,5,2021-04-19,1,This app has story and in the story there will be no sound so pls arrange the music 🎶
P. S Sangela,2,2021-04-22,0,Hello instagram  I am a regular user  of instagram and i love to use  Instagram... And like to use Instagram reel  features but didn't get this feature on my Instagram account/id please Add Instagram Reel features on my instagram id  as soon as possible
Nilesh,1,2021-03-12,0,No reels creating quality No filtera are there and no effect so 1 star
Raj Tech and Gaming,3,2021-03-22,2,Good ap but increase some story time it only take video of 15 second take atleast 30 second improve please
Vishal Metre,1,2021-04-03,0,"Third class app ever, i don't see new posts in my feed until now. Very disappointing app"
Sazan Limbu,1,2021-04-08,1,"I am not able to use Insta lite, can't login."
archana kumari,5,2021-02-13,2,This is ossam app but in the story uploading and deleting some problems please fix the problem 😃😃
Akash Tengale,3,2021-03-13,1,Instagram needs to work on its lite app and need to add more features just like its normal app
Sumaiya Prokriti,5,2021-04-19,0,It is a very good app to chat and call i like it very very much
Mika Ki,2,2021-02-06,2,"It's just like facebook lite and messenger lite, It ruins the photo's quality"
BL4Z3 FR34K,5,2021-04-12,1,Great app and has perfect ditials
Sule Igoche,4,2021-04-07,2,This app is a life saver of memory space.
Sunil Rajvani,3,2021-03-22,0,This is very amazing and I love this so much . Very lite space for this .
Gracy choudhary,1,2021-03-04,2,not swipe to reply option no theme option all over app doesn't have main features
Bontee Chime,1,2021-03-21,3,I gave it one star because i installed this app and its telling me to wait ontill 30 day . So annoying
Sachintha Kumarasinghe,2,2021-03-06,2,Please turn off auto playing videos. My broadband package totally wasted up when surfing the Instagram.
Straight Savage,2,2021-04-14,1,It's a good app but I can't do story votes and questions
Anshul Shrivastava,1,2021-02-02,1,Feed is same it's not updating even after refreshing 100 times and clearing cache
Sjak Wksks,1,2021-02-17,30,Many bugs in this app. in this app i can't post anything please fix the bug
Alka Gharge,1,2021-02-01,3,Giving 1 star beacuse image selection in chat not working
Karthik Sunil,1,2021-03-20,3,I didn't expect this from the great developers of instagram.. This app didn't even start for me Android 5
Aishwarya Alane,1,2021-04-08,1,Such a guilty app I download this app 2 times but it does not open My network is also good but i can't use this app I suggest people don't download this app 😏😏
Shehan perera,3,2021-04-16,0,"Good app ,but this must include original app details"
BMW Bloch,3,2021-02-28,2,Dark theme would be nice to save battery as well.
박지민이사랑해,3,2021-03-10,4,I need dark mode and reels please.... Overall it's a good version for my old and slow phone
Sagar Choubitker,3,2021-03-17,0,It's always shows repiet content so please solve this problem.
Mr Vimu,5,2021-03-18,2,Great but add some song in story option 👍✌
PÃŘĶÉŔ ĞÆMÏÑĞ,2,2021-03-24,2,GOOD BUT WHEN I THINK I WILL UPLOAD A VIDEO ON REEL THAT TIME VIDEO. HAD NOT SUPPORTED SAID THIS APP..
Collins Sarah,1,2021-03-23,2,Does not link with Facebook and doesn't support stickers and reels
Akshat Mishra,1,2021-03-11,0,"Dark mode not supported, reels not supported not well optimosed"
Ritesh Nandan,3,2021-04-05,3,Reels tag is constantly missing
Şhabbas gamer,4,2021-03-18,3,This app is good but we can't add music in a stories
Vk heart,5,2021-01-29,1,Amazing and cool app. This connection is gool. 🥰😍
Sukhmeet Singh Sodhi,2,2021-03-31,0,This is glitching really hard. I am not able to follow back
M. Tasin,1,2021-01-27,3,"It's instagram and you guys make it lite, we don't need that's kind of lite that we couldn't upload my photos!!! Please upgrade your app so that I can rate 5 for you. 🤞🏻"
Jemimah Nakitende,5,2021-04-01,3,I love the app it is so nice it allows me to follow all the members of Blackpink i love this app so much i am going to recomend it to my friends
Princess Lillith- Ana anabella Elizabeth Small,1,2021-03-30,0,It more like a browser than the original everything seems browserish
Bratin Goswami,4,2021-03-25,2,"Very good app 2g mobile and 2g,3g,4g supported"
عبدالملك العيوي,1,2021-03-24,0,It doesn't support sharing IG message .. also It's so slow in work.
Jass sandhu,4,2021-03-15,4,Very good app. Saves data.have very good features👍👍
Popi Das,1,2021-03-24,0,"Can't post photos, can't use emojis I don't know what's the problem!"
Sk. Mahmudur Rahman Rajy শেখ মাহমুদুর রহমান,4,2021-03-10,1,Why this app don't have theme changing options like the main Instagram app? I need this option in this app.
Rifa Nazeer,4,2021-02-11,3,This not working the reels please update the reels
Hugo Aero,2,2021-03-12,6,Enable dark mode. Too bright for my eyes 👀😖⚪
Gaurav The finisher,5,2021-03-17,0,Awesome app but i can only tag photo not video why
Dj Breezy,5,2021-03-15,3,It so cool and very reasonable to use but from my on side upgrade it with a dark mode
vishal chimanchod,3,2021-02-23,2,It keeps on crashing after every 5-10 mins
‖ ᴀɴᴛᴏɴʏ ‖,5,2021-02-21,5,I liked it.....even plays videos at 2G speed..extra ordinary
jay sree mahakal.,2,2021-03-22,1,Not good like as face book lite some option are missed not work good and better than..
Sanele Mkhize,4,2021-04-05,1,It was nice...but there are some features missing
Saif Agha 007,4,2021-03-20,1,The feature of reels is not coming in ym Instagram account you are refresh to ensure that feature in ym account as soon as possible
Anitha. M. S M. S,1,2021-02-19,1,Nice.... But not as instagram... Story settings must improve..
Tia Rudy,5,2021-03-28,21,Very good app but not good enough for video chat
Miracle Brathwaite,1,2021-04-12,0,The emojis look weird and there is no dark mode and it isn't letting me follow that many people I don't really like it No hate tho
Instagram reels,3,2021-02-17,2,This is good but not reel's option
puranchand panda,3,2021-03-09,5,"In status or story section on up side of the app , stickers are not supported."
Shaik Mahaboob subhani,3,2021-02-20,1,Slow data speed and it is slow respond other wise is good🤗
micheal tumuramye,5,2021-02-20,3,"It's good, uses less data and work on all network"
sandeep Rana,1,2021-02-28,1,Unable to load after installing...app bug
Harsh Kumar Singh,3,2021-03-27,1,Needed zooming feature and Smooth scrolling
Anjay Krishna,3,2021-03-28,0,Nt bad when compared to instagram but i hate login lag.
Tony Trevor,1,2021-03-26,1,I cant even search. It Reboots all the times.
Abhinav bashyal,1,2021-04-10,0,This app is not opening. Pls slove this problem fast.
Freedom. Nxumalo,5,2021-04-03,1,Great...fast and reliable
Arjun Kumar,5,2021-04-21,0,Thanks for making this Lite app it is useful for then who has less RAM in Mobile.
Atufa Zainab,5,2021-04-01,1,Unable to chat DM is not workingggg
Andreas Jacob,5,2021-03-29,2,Easy to use fast and enjoyable
Roki Hassan,5,2021-02-28,5,Very good and usefull app i think i use main instragram..
Diana Borges 14,1,2021-02-20,0,"New post are appearing , New stories I can see but the posts are not coming"
Njoku Jonathan,3,2021-04-14,0,Is good but I have to update it before I could do voice and videos chat.
lullie eilish,3,2021-02-28,2,i need dark theme and being able to send voice messages and this the best thing on earth lol
Karan babra,4,2021-04-21,0,Instagram reels icon not showing in my device
Bŕånñy Břøwñ,5,2021-04-21,0,Great app ... it works smoothly
Rehan khatik,1,2021-03-12,3,Worsssst app ever because it is not supporting photo from gallery. And not music facility in our story
jyotsna patil,1,2021-04-24,0,"In my Instagram account the reels option is not available, plz kindly request you to plz add the reels option in my Instagram account as soon as possible thank you"
Sebastián Camilo,5,2021-04-08,0,"I like it... But, I think it should have a dark mode"
asomeone person,2,2021-04-16,0,The app doesn't open at all otherwise all's good in my opinion just like the regular
Parwinder Arora 6612,3,2021-03-15,2,reels came so 3 stars...bring the feature of sharing reels in dm nd story also in lite instagram
Zach Elle,5,2021-04-08,2,"Hi! I just wanna say this app is the best, this is supper LITE! I can't believe this actually exist 😂"
bettie Hoa-khaos,4,2021-02-21,1,It's cool but it is having a problem With loading 🤫👍
Annu pandit,4,2021-02-27,1,nice app but music option are not availabl for story mantions
Sarath Thencheery,4,2021-02-07,1,not working good in full screen mode
Nava Chaitanya,1,2021-03-29,1,So slow it's unable to read comments we should refresh every time it's so worse
Shubham Kumar,1,2021-02-07,1,This app still consumes much data like the original instagram. 1 star for this!
Akhilesh Patel,1,2021-03-18,3,unstable network connection and very bad experience
Abhishek Silswal,1,2021-02-09,1,I love the theme of instagram lite and it is very good app
Akash Saxena,5,2021-04-03,1,Instagram reels not show please fix this problem
ajaylama24,1,2021-02-09,0,Takes too much time for launching when second time opened instagram lite
ankit pathak,4,2021-03-11,1,Nice app but some features are still not available dark mode i am still wating
Asif Ali,5,2021-04-24,0,This is a nice app for chating
Kavishka Kandekumbura,2,2021-03-28,0,It has some bugs .. and it doesn't smooth 😭🥺
Arpan Pal,1,2021-03-08,2,darkmode doesn't works. Text can't understand in dark mode
Abinesh NR Anand,2,2021-03-14,2,Voice message facilities are not available
blinkzoned,4,2021-04-14,0,"Best app until when I try to edit my posts it says ""error. feedback_required"" pls tell what I do"
Shivam Swaraj,1,2021-02-25,0,Why you removed the reel feature in lite app....? Please bring it back.
Anushyy,5,2020-12-20,3158,I like the lite version of Instagram. It feels very simple. But it is very basic version of Instagram and some of the features are not there yet. There are bugs and I believe they will fix it in the future updates. The loading is little slow but it can run in slow internet connection. Well I'm glad there is a lite version for Instagram and I really like it ! ❤
Ayush Yadav,1,2021-03-10,1,Nice social media app but many features are not in init this soft ware
Ankit Singh,1,2021-02-21,0,repeat same pist all the time. homepage don't gate updated..worst app
tobi Samuel,1,2021-04-20,0,Dark mode feature should be added please and data saver option
Debjyoti Banerjee - 7062,3,2021-03-11,1,Add dark mode Smoothened animation and ui Add more features
Shubham pratap singh,1,2021-02-15,1,"There is no reels in lite version add it, rest everything is okay"
lokesh 112k,1,2021-01-10,467,"Everything needs to load! I didn't like things like this, the only reason I'm giving 1 star is its lite on storage and yes I have used Instagram but only for a few days and it has reduced a pinch of distractions, otherwise, if there might be a 0 star, I would just give it to this application. Still lots of bugs and needs lots of improvements, you can make it. Work on it, make it original and actually lite, and really distractions free. Thank you."
ahamed mafaz,2,2021-02-28,1,Dark mode unavailable in this 😭😭 . Built that option as soon as possible
Esi Amlahzadeh,5,2021-03-11,5,Very Good app and very easy to use
Aadarsha Roy,1,2021-03-13,0,Reels are not opening in DM's... very annoying...
Keshav Agarwal,5,2021-03-25,0,App is good but plzz add song adding features in stories..
Ramlal Dangi,5,2021-03-02,0,Not available for music in inagram
armyblink Madhumita,1,2021-04-15,1,Why I can not post my pic and videos?? This app is very bad 👎 .
Oscar Fernandes,3,2021-03-27,2,I can't send messages.... please try and fix that
Sumaiyah siddiqui,2,2021-02-07,0,Isntagram lite is the worst lite version ive ever seen of any app😂 fix it please fb lite is is much much better than this
MohimiA Hip Hop,5,2021-02-10,2,I requested to you give dark mode option in Instagram lite Thank you👍
Snehal Shinde,4,2021-03-30,3,It's cool but I want dark theme option for use this app.. overall ita nice app
Prayagi mate,2,2021-01-30,8,little gud experience but i wasn't able to edit my date of birth and didnot download or share public pages photos.most of the time me share my problem but problem is not solve related date of birth changes feeling worst while using setting of instagram lite. even i m not able to read any mesages.solve the issues plz.
Harpreet singh rao Lally,1,2021-03-16,0,It is working slow that I was rate one star please Instagram lite speed thori fast Kar doo instaram lite walo or iss maa new feature download Karo sir thori speed vada dooo
Alokh Venu,4,2021-04-13,8,No dark theme yet. And please add reels.
NIGHT 4 GAMING,3,2021-01-27,83,"This is great. But need many features such as Dark theme, zoom, stories features many more. This app disappears from Google Play Store all of a sudden. That's all."
kenon_ beatz,1,2021-03-09,1,The app does not show all media (images and video)
Tonmoy Borah,1,2021-02-07,1,cant see anything on a dark mode redmi note 7. Too buggy
Ãbú Măbąşhā,1,2021-03-24,1,"Instagram lite is very waste because,messages or not showing correctly****"
Ramkrushna Panchal,5,2021-04-06,4,I love Insta.... Add new Reels feature in app...
Mr Nobody,1,2021-04-04,0,It's difficult to post pictures because it zoom too close
Darshan Bhatiya,3,2021-03-25,1,"Need message reply feature in messaging, not having reels feature on andriod 10 and onwards"
WorthY FF,2,2021-02-18,0,Please add Dark theme in this app too Please improve I feel some thing is missing Anyway nice app
Ramy Ahmed,1,2020-12-26,2109,"How come that a 'lite' version runs much slower than the full version, and on the same exact device? And why does every single action require a loading bar before it opens, even switching tabs?! This is certainly not a lighter version. This is an outdated website within an app container. I was really hoping for a simpler version of Instagram with only the original features, and without Reels and all the other distractions added lately, but what you created here is a huge disappointment."
Ansh Bajpai,2,2021-02-07,2,Add musics in this version to post in stories...
musa ayuba,1,2021-04-18,0,The app is really good but Please how can i stop the video auto play in this lite? Thanks
Blue Rays,1,2021-03-19,1,Unknown Error. Wow Both Instagram And Lite.
mohammed osman,5,2021-04-04,0,Instagram reels icon not comming my phone nd instagram not updated my phone
Fayis Ismail,4,2021-01-03,2197,I've been using this app for a while now and I can say that it needs a lot of improvement. There are a lot of bugs and the lite version is missing many features. There are a lot of features that are missing which were important. There is no sticker support. It doesn't support voice messages and there are no camera filters or any kind of effects. We can't even add close friends in the lite version. I hope the developers improve it.
Avenue Joju,4,2021-03-01,1,Cant hear voice messages. Plz modify it
Monish Kumar,4,2021-03-23,2,This is very awesome app this basic of instagram so very nice
Muhammed Razi,1,2021-03-16,0,Plz fix some problems like live story is not seeing and reels
Fathima Pathu,1,2021-04-11,0,If we add video as story we can't mention a person in that story and in this app we can't open reels
꧁༺ɢօʋɨռɖ ʝɦǟ༻꧂,5,2020-12-18,317,"Instagram Lite makes it easier to bring you closer to the people and things you love. The Instagram Lite app is small, fast and works on all networks. Enjoy the best features of INSTA like connecting with friends, sharing what you’re up to, or seeing what’s new from others all over the world. Explore our community where you can feel free to be yourself and share everything from your daily moments to life's highlights. Express Yourself and Connect With Friends"
Lalbiakkima Thianglai,5,2021-04-22,0,Consume less data and less phone storage.....
THE KNOWLEDGE TV INDIA,3,2021-04-13,0,Improve more Dark mode add...Refresh Problem solving
Tirtha Adhikary,3,2021-01-07,3030,"Apps pretty good but the dark mode sucks. Can't see anything it's all black also the fonts are black. Also one other bug. Who ever uses full screen mode including me instead of nav bar the bottom portion where the nav bar stays is blank, where The Home Icon, search icon and the other 3 icons should be. Instead they stay above the nav bar space that we don't use. We have switched to gesture full screen mode, so the app needs to fix this problem."
Han Nongbah,4,2021-04-06,0,"The app is good,but dark mode is missing"
Kumar Gaurav,1,2021-04-05,0,Automatic video playing is not good
GAGANDEEP RECORDS,4,2021-03-28,1,Nice app but there are so many problems like no add song no zoom in out photo no make reels video and many more problems etc plz repair all problems and add 3rd stickers
Ajay Verma,2,2021-01-26,172,Nice app. But home feed is showing same post since 2 days and not getting refreshed even when I do it manually same old posts are appearing again and again. Please fix that and also include igtv/reels.
Mahommad ali Mulla,4,2021-04-23,0,Nice app but is most apdate app over all the best app
Vishnu AR,2,2020-12-16,967,"It's not working!!!! When I tap on something, it isn't loading and says ""something went wrong"" actually you should fix so many issues if you want to get 5 star rating from me! I thought this app would be one of the best, but I'm so disappointed with this application."
sadiq adamu,4,2021-03-31,1,Very nice app though camera no filters
Jayesh Rathod,5,2021-02-22,5,Very very nice app because this used less data.
Aditi Sharma,1,2021-03-18,0,Very glitchy. Not worth it.
Sunny Bhadauria,2,2021-02-25,0,Dark theme missing and font is not supported
c. shefan,5,2021-02-23,1,It's perfect but updates are not available in but this is good use. 👍👋❤️
Sarfaraz Sheikh,1,2021-02-25,1,"Dark mode are not working properly, Reels are missing"
Adolphus Mark,3,2021-04-09,0,Good one but it will better when improve
Favour Shobowale,3,2021-04-06,1,Good am enjoying it. It consume less data and fast.
Priya Sharma,1,2021-03-21,42,"My feed isn't getting refreshed , when i want to post my story there is not proper working functions. it is like we are using instagram at browser and then we add to shortcut at our homescreen this app is not like application......"
iam Lalit,1,2021-02-27,0,Same as web.... Can't zoom photos..nothing on it..
Tahrim Ahmad,5,2021-04-19,0,Instagram reels icon not found in my phone
Samarth Rawan,2,2021-03-12,2,Night mode is not good.. User interface is bad
Kartik Girde,2,2021-03-16,0,Not well optimised for full screen
Daljit Kaur,2,2021-01-29,1,Everything is very slow and please update this app nothing is available in this app no video call no stickers nothing and this things sucks
Gorav Sharma,4,2020-12-10,815,By the way App is awesome 😎. But I'm giving it 4 stars because of a bug which is also in Facebook Lite. During split screen only Instagram Lite and Facebook Lite have issue that it only cover 60% of screen and remaining screen is white. Please contact me via email so that I can send you screenshot so that you can understand more deeply. Please fix it we are unable to do multitasking with this bug. Except this bug app is awesome for 1Gb and 2Gb ram mobiles👍
Chanavan Muloongo,5,2021-03-15,2,User friendly and no issues at all
Hussain Rao,5,2021-03-18,2,It's amazing we can do things faster as we want in short data
Haileleul Girma,4,2021-03-14,1,It would have been amazing if it had night mode or black theme. 10Q
Enakshi Mukherjee,1,2021-03-02,0,Very bad please give the updated version with reels.Please update instagram lite
Abhinav Pandey,3,2021-01-25,52,"Im really unhappy with this version..Please Update it with more features like,Story create mode,DM to anyone,Audio msg feature..And something more..otherwise this app is works faster than Instagram.."
Necrolite,3,2021-04-23,0,Sometimes it bugs and glitch..
Shiv Gupta,5,2021-02-06,4,Its features are just like you use instagram on chrome but it is more better then it
khan k,5,2021-02-01,1,very op app and but story photo in not show music option please solve this
shagufta mushtaq,1,2021-02-02,18,"This version sucks it has no camera filters, can't reply on someone story it always says this sticker is not supported by instagram lite ,very slow this is not the updated version this is the worst"
Vikas Tripathi,4,2021-02-27,0,Slow to login please fast Login
Praygod Nyamandege,1,2021-04-03,0,It's boring when reaches 99% fails to finish up👎
umar Sarfraz,1,2021-01-31,29,It gets stuck and gives error .Every time tried to login but failed. Please check and resolve the problem.
Shiva Gurjar,1,2021-04-19,0,Very nice aap but now a day my account is not login i try my best plz fix it
Syed Adan,3,2021-04-03,0,Nyc app but need many improvements... Add music option to stories...Add reels...🤞🏼☺️
Raheen Chohan Sings it,3,2021-04-22,0,i tried it..it is like we've opened insta in browser
AK PRODUCTION,5,2021-02-26,0,"i think in lite version all the feature are added on website , i think this version just a website into application"
Ajay Singh Chauhan,5,2020-12-12,649,This lite version is awesome !! And there is no specific tab for that annoying Reels and that's a bonus!!!!! But there are some minor lags while opening new posts and while switching to different tabs !! So please make better !! Otherwise everything is Awesome !!!!
Rubab Fatima,1,2021-04-03,0,I can't upload videos there is no option l can only upload pics if there is a solution of it plz let me know
Sreehari puzhakkal,2,2021-03-08,2,Dark Mode is necessary in every App nowadays..Here No implementation for Dark mode.
Omkar Tikekar,1,2021-01-26,29,I wanted to give negative rating to this app. Does not open on my device. Samsung Galaxy M31. With very fast airtel internet connection. Very disappointed.
pramod miriyala,2,2021-02-10,0,After read Messages the notification number still not going away
Rukaiya Parveen,2,2021-03-25,0,Instagram reelas icon not show in my mobile phone
Paras Gupta,1,2021-03-31,0,Good but we can not upload multiple pics by this so i think that's problem should be upgrade
jun mowns,4,2021-04-10,1,"Nice. Just remove ""suggested for you"" bar."
Akash Thoriya,2,2021-01-26,20,"Most disappointing part is feed, feed is not showing as original instagram. A lots of basic features are missing. Why this is isn't good as facebook lite."
Ashish Nerkar,1,2021-02-01,25,Doesn't work in full screen mode. (Oneplus 3T) It has a white bar at the bottom of screen. Doesn't get rendered on screen properly.
S.M. ANAS 321,4,2021-04-24,0,Please add music option in story
NOBLE SEBASTIAN,5,2021-04-20,0,Very useful and takes little bit of storage...cool...
NaveeN N,2,2021-03-11,0,Unable to zoom images
nas BGM,1,2021-02-12,0,"This app is made for you if you are a low user of Insta. If you are a low user of install, this app is made for you."
Ayush Víshwakarma,2,2020-12-19,329,There is nothing like refresh. When you refresh the feed it doesn't get refreshed. And dark mode is still missing. By the way the app is awsome and the plus point is there is no specific reels button that annoy you. Please solve this problem ASAP.
Mama Pandapatan,1,2021-04-06,1,i gave a 1 star cause i can't creat a new accont . but instal it if it work in your device
Sarath T S,3,2020-12-18,162,This is great move by insta but this app needs lot of improvements. Unlike fb lite this works in the background(maybe add a shutdown option). There is a delay while scrolling even in 4g which shouldn't be there in a lite version. And introduction of night mode should be considered.
Sona Adhikary,3,2021-02-15,10,Please stop playing automatic video. It is very annoying to play video without my consent. I lost a lot of net balance due to video auto play.
Pryas Chechi,1,2021-03-30,1,Not able to upload poast Quite buggy app
Chelvan,3,2021-03-03,2,"Right now Most needed update is dark mode , react reply with emojis in dm and groups"
Aries Saya95,1,2021-03-20,1,It's slow app and I can't even reply or there are no sittings
Soorya Ravindran,4,2020-12-16,359,"App is good, has all the basic features, but the screen resolution is less, doesn't occupies the full screen. And also there is no native dark mode. If those features are added, this would be a great app."
mahi kumari xii d . 27,5,2021-01-18,1568,"It felt exactly like facebook to me. And i didn't have much trouble in using it. 💜💜 Both apps ( Instagram, Instagram lite ) are very good. Install the app as you like bcoz I used both apps and i had no problem with both. Both the apps are excellent to use..... 💜💨😻"
Nasreen Khan,5,2021-02-15,0,Main Instagram real option not working please check the system
Nauman Ashar,3,2021-02-09,0,Would be nice to have dark mode in lite version too!
Madhu kumari & Vinay Patel,5,2021-03-16,1,Nice app and its data feature is very nice
Official Heniy Videos,5,2021-04-07,0,nice simple and fast app really i like it wowwww
Sukhdeep Dhami,1,2021-03-01,0,"Unable to login, dont know how to get assistance."
Taranpreet Saini,5,2021-03-04,3,"It is vry grat app i love this app this is awesome there are many app like facebook, twitter yajhoo but i like only insta app"
Rami R. Amin,5,2021-03-27,1,Very good but add get notifications please. Thank you
Na Ra,1,2021-01-07,12,"Very slow at showing content, and the same stuff keeps resurfacing despite multiple refreshes. No dark mode available. Also, some of my contacts dms can't be opened no matter what. Definitely needs to be fixed."
Tejeshwar Sahu,4,2021-04-03,1,Please add stickers Add music and reel
Ashok Saw,1,2021-04-09,0,Please help my request message not a send to Instagram lite screen please check your system
KD 5677,1,2021-02-09,0,Not working well. Showing error.
Sourabh k mourya,1,2020-12-24,151,Before launch of this app I was using a browser to use Instagram when lite version of Instagram arrived so I downloaded this application. But I am facing issue keep on showing me old post. Though I follow 500+ people on Instagram then also it keep on showing me older post. Moving back to the browser I hope Instagram will fix it.
Tanvi Chandra,1,2021-03-16,0,It doesn't work at all! Horrible app....
Purav Kumar,3,2021-03-18,0,Good in 2 mb but add reels option 👍🏻👍🏻😒😒
