names,stars,dates,clicks,reviews
SUBHAJIT NANDI,1,2021-04-03,26,"Very much crashing And loading time is very very very very much long,,, please fix this problem As Soon As Possible...!!!!!"
Pothala Monika,4,2021-04-21,0,There is a login error Which says try after a few minutes before try again It's so weird I can't login into my account 😔 Solve it...
Duchess Freya,3,2021-03-21,6452,"Glad that Lite exists. Noticed that we can't create collections. There are basic emojis in the comments section. However, it lags and crashes more than the original Instagram. Kindly fix this. Thank you. Update: Recently, Lite has been crashing saying, ""something went wrong. Please try again later."" and I checked in a few times, still the same message. Kindly fix this. Thank you."
Joshua Jack,4,2021-04-14,12,"Great app except for one thing, i just can't turn off the auto video play, its annoying."
adarsh b,4,2021-04-08,19,"Its good for them who all are having low end devices......and there is a problem that it does not have dark mode.....,🥺🥺 Hope dark mode will come soon....🙃🙃"
Tae Texting fever,4,2021-03-29,411,"I am really happy with this app, everything is perfect... even my one of my favourite BTS members ' Jungkook ' is following me on Instagram which is very amazing.....the only problem I have is that Instagram doesn't allow me to post pictures I've taken a long time ago, it only allows me to post pictures I've taken recently.... can you please fix that error"
Wajiha Tariq,1,2021-04-16,5,Its very bad app and doesnot work at all .every time I want to open notifications it cant open them and asks for internet connection even at full wifi signals
Filo Gaeguri,3,2021-03-30,74,Its good especially im using the old version of phone. but sometimes instagram lite crashes first the letters become whole black of block. then i want to upload some video using this but i cant. lastly why i can only upload one picture.I really love this app so much and i want to use this so badly in the near future.So please do anything to make it beautiful and more fun to use.Thank you!
Zainab Zia,1,2021-04-22,0,Its loses too many features. And is complicated to use. So its better to download the real app.
Cem Özırmak,3,2021-03-23,2881,"It is good for most things people do on Instagram. However, I cannot access some of my group chats on DM and I don't know what the problem is. It says ""Something went wrong. Please try again later."". Also, I cannot vote for polls in stories or give an answer to the public questions and although it is the lite version of the original app, I think these should be included. After those fixes, it will be a great app."
m. jawad noori,1,2021-04-21,0,"ohhh this version Automatically playing the Videos 😡 it's the biggest problem it has ,please fix it."
Marvin Martin,4,2021-03-14,3843,"This Instagram Lite is absolutely great app. But it can't fully completed. My suggestions to Instagram is: 1. Please add stickers for free. 2. Extend Instagram photos into 20 photos, NOT 10 photos. 3. Please add video extension to 3 minutes only, NOT 1 minute video. 4. Less data for Instagram stories. 5. Make sure this Instagram Lite is really 70% less data, truly easy to messaging and posting, and full of happiness with stickers. Thank you."
Prasanth Ganesan,4,2021-03-31,226,This app is super cool and easy to use. Would be better if these minor improvements are made. 1. Unable to view more than 25 stories. Please add see more button if possible. 2. Deep linking is not working sometimes 3. Dark mode
Queenie Meñoza,2,2021-03-24,937,"I hope you can fix the app itself :(( It's a great app but whenever I try to add some story or post a picture, it just kept on bugging. That's why I couldn't add some story or post a pic. I'm quite disappointed of how it works since the features of the IG lite is already satisfying for me, hope you can fix this :(("
Rose Merry Undag,4,2021-04-10,19,"So good so far but i hope that it has filters for story,music and dark mode as well i hope it will come out soon💗🌸"
Ranjna Thakur,5,2021-04-23,0,"Love this app,instagram lite.....😊I had a great experience so I gave five stars for this ....."
Muhammad Yaqin,5,2021-04-22,0,So far so good. Only wish there would be a setting for the font size
Sai Krishna Murari,2,2021-02-04,3142,Things you need to fix- 1. New feed is not loading. 2. When we read a message it still shown as unread. And things you need to add- 1. You can't zoom in any photo in lite 2. You can't react to stories Since it is a lighter version I am ok with curret app except the above mentioned.If you fix these things it will be great.
Venki 0_0,2,2021-02-01,4057,"Hey! If ur a feed consumer, then go for it If ur into content creator, definitely not recommended! Difference:(what you cannot do in lite version) -no reels section -you cannot use it in night mode(if u use in night mode u can't see the logos in bottom and top like home, search, reels, heart, ur profile, dms, story etc... (-2star) -U can't make story (-1star) ... And much more"
Mallik Bepari,1,2021-04-07,8,Not happening to see reels do it fast as you can do faster again not coming to edit photo in music it's nice to install Instagram not lite
Pastor kibazo Isaac,1,2021-04-22,0,"At first when I downloaded it was fine , but now it can't load to my account."
Claire Daniel,1,2021-04-15,17,I can't even login into this app .. it's keeps telling me there's a problem in login in this app.. i feel upset
Queena Marie,4,2021-03-03,3140,"4 stars because: - I can finally see fancy/special/aesthetic fonts using the lite version of Instagram. My phone itself couldn't read special fonts in any other app so this point is a big thumbs up! 👍🏻 - works just as fine as the actual Instagram app, it's a bit laggy but I'm fine with it. 😘 ❗BUT❗ - the emojis used in the lite version is different from my phone's system emoji, causing me to see squares on some exclusive emojis. I hope this can be fixed! 🥰 - dark mode please 🤣"
Rose Idiartt,3,2021-04-19,3,"Don't have an option to ajust crop to square photo, automatically ajusts to the right."
Elsa slime ASMR,3,2021-04-06,10,Yep it's true lite app detects less data then other but it has less features than original Instagram like you can't create a question story 😿 it's bad pls fix this I will be very grateful to you insta lite team
Sree Charan,1,2021-02-14,2703,"This app is pointless. When you can open this in browser, why build an app again? - Opening in Browser is much better. - Photos are cropped. - There is a bug while seeing ""more"" in the captions. - No stories - Doesn't open exact profile link or video link. Cannot watch a single video."
Waswib official,3,2021-04-11,8,Can't post videos more than 15 sec... Once I downloaded it I got music facility on instagram lite but now it is unavailable
TECH BIRD,4,2021-04-04,37,I am user of istagram. I have been useing intagrm lite for the 3 months. But I suffer some technical problem. That is reel logo for some time appear and after some time it will disappear. Please fix this problem I'll tell you it is very good lite and simple
Rohit Verma,2,2021-04-24,0,You are not able to upload more than 1 photo if you are using insta lite. The search option of insta lite is not working properly. Sometimes iritates a lot. sry.. aaaaaaaa looooooooooot.
Sagar Andhare,5,2021-04-22,0,I cant see the reels in new update of app other wise good interface consumes less data as compared to original app
Thabile Mendy Cele,4,2021-04-23,1,It is good I love it but the thing is that uu can't put many pics at once and uu can put in dark mode
Riyanshika Sinha,3,2021-04-06,28,Its good app but there are certain exceptions which are as - You cannot share a reel You cannot use filters or stickers while you post something in your story You cannot write a comment after a certain extent I just informed the problems and I hope you will update it as soon as possible Regards
Anashe Consolata Kunaka,4,2021-04-02,58,"Great app, but please add dark theme. I just moved from the original Instagram and I'm finding it hard to use the light theme due to my eye problem. Please add dark theme It would really mean a lot to other people like me..."
Pritam Paul,5,2021-02-27,3239,"Really a good app for low end devices. Very light app, no bug at all. I would like to suggest some further improvements from my side, 1. Give support for reels. 2. Give option for dark mode. 3. Give direct message sort option like general and primary. Thank you.❤️"
RAHUL BORANA,1,2021-03-24,778,"I had just created my new Instagram account a day before yesterday i.e. 15,March.But unfortunately I am not able to follow any of my friends or people.Every time I try to follow I get a message that says, Try Again Later We limit how often you can do certain things on Instagram, like following people, to protect our community. I also try to report this problem using an option of reporting this just belo the message but I doesn't work.I also try with InstaWeb but doesn't work. User,rahul.borana.1"
Sumit Saren,2,2021-02-13,1618,It's a great alternative of Instagram and the best part why I left the original to this lite version is because of no ads in lite and also because the feeds are not to addictive.However a lot of improvements are needed in this like specially the older post always stay on top so for newer post you have to scroll down which is to irritating also you cannot zoom on posts.But since it is newly launched I hope this gets fixed soon as this lite version looks better than the original.
Kuziva Mubonderi,1,2021-03-01,758,The app is the worst Instagram experience I've had it felt like I went back in time to 2017 but couldn't vote on stories etc. The app could have just had the same functionality as The original Instagram but it fell like a browser app that has less functionality. It horrible I wish I could give it 0 stars. Uninstalled
Md. Sohag Islam,5,2021-04-14,14,A lot of fun can be enjoyed using a very good app and also available to celebrities.
Sunil Das,3,2021-03-22,258,"I was very happy after launching the lite version of instagram because there is some majore issue in my real instagram but in this lite version there is no song option in the story ,no reel making option,and no stickers option like 'ask me question ' or like that ,so please add these option on instagram lite please team ,after adding these options the lite version will very osm 💌"
Brijtekken,2,2021-02-23,786,Thanks for this... i didn't expected Facebook will do such thing. But could you please include a total black dark mode. To reduce the eye strain. It not easy always to use Instagram in white theme. So please do include a complete black dark mode. I do only texting and messaging rarely That's all.
Daniella Appiah,1,2021-04-22,0,The app was working perfectly. Well this yesterday night that my pages couldn't load
Walter Mataz,2,2021-03-21,589,I installed this app just so I could get back on Instagram using my phone because the original is givk my phone problems. This app is so slow when loading notifications and it doesn't have access to many things that us as the users want to use. It has limitations that I consider as useless but please try by all means to fix these
Abhinav Vats,3,2021-04-03,5,It is good and I would have given more star but needed to be improved in the reels sector.
Frank Perera,4,2021-04-12,12,"Yeah it doesn't have the dark theme, but this is pretty good. It doesn't use a lot of mobile data afterall"
keaya lisa,4,2021-03-16,643,"I used this lite version and now I can post in my page and send stories . The normal Instagram I can't post anything and I dunno why . Butt the Emoji is the problem . It's different then my keyboard's emoji . And another problem is I can't see one of my friends messages , it's keep saying SOMETHING WRONG PLS TRY AGAIN LATER soo this cause that I can't see their messages . I hope you will fix this ASAP"
Lwazi Mbeje,2,2021-04-13,4,It is a good app but the problem is that it can't rotate and it doesn't have dark mode😒
Angie Soli,3,2021-02-25,506,"So this lite version is okay .. just few bugs need to be fixed. I opened stories and couldn't get out of it as it showed me ""error"" when i tried to close it. Another thing, it takes long time to reload my follow requests idk why."
Jeevan Somu,5,2021-04-23,1,Real instagram consumes lot of data 😌 so I downloaded this insta lite which consumes very less data 😃 we can chat and also we can watch the reels....
Ashish Sahoo,2,2021-04-23,0,It's over all good but if it has dark mood support then very useful .please improve the quality
Alevan Sanfeler,1,2021-02-28,466,"Doesn't work, doesn't have dark mode, doesn't leave you open some chats for some reason even if you can see them in the regular app, doesn't allow to select one post from a profile and scroll down the others without having to click back. Bad lite version."
Typhon - FF,1,2021-04-15,3,"This app is pain, crashes a lot, full of bugs."
Rajesh Kumar,3,2021-04-06,6,Awesome app I am giving three star bacuse some messages are not support yet but nice app thank you.♥
Aman Kesarwani,1,2021-02-12,934,Fix some issues and add features:- 1)) introduce dark(night) mode 2)) not preload igtv or reels videos (because it is lite app and we use lite apps because we want more in less data) 3)) Give data saver mode to loas images in very low quality 4)) Fix other issues of app stability.
Harsh Jadhav,3,2021-02-24,1126,Its a nice app But the problem is that while watching stories of my friends its not go to next page its just stop at one story of only particular post so we have to Struggle to change the page again and again But it's Quite Good And nice App. Only thing is Just Add Music option while posting image With Music please its a humble Request to Instagram Team
Sayan Sameer,3,2021-02-16,506,"Just not good enough yet. No dark theme. Couldn't visit my 2nd account because it just keeps asking for code sent to my phone and when I enter it, it asks for it again and again. The stories don't work properly too. 3/5."
MERVIN BRITTO,1,2021-04-01,50,"This thing is even worse than full version. It doesn't load anything just keeps buffering always. It requires higher data speed like full version to work, what's the use of this lite version then."
rahmah magemeso,2,2021-04-01,4,"Good though no longer opening after two months, this should be worked on atleast for the better"
Suraj Garhwal,2,2021-02-02,870,"see overall the app is good .. but in split screen, only half of the screen is visible and the bottom icons are fully cut down .. soo thats a major bug ... and other stability issues are there so please resolve them too ... hope somebody listens to this .."
Jowel Lumibao,3,2021-04-08,7,No free photos in lite app. But it says free photo. Not on videos. 3star for now
nandini das,4,2021-03-28,85,It's good but the problem is that the app is quite old that's why I m not getting the new features the features of the app is very very old want to update 🙏🙏. Actually it's working too slow and whenever I tag someone it doesn't shows whyy??
Manjul Bhatt,3,2021-04-10,4,I like this app but i only give it 3 stars bcz. It doesn't have the features like instagram i know this is insta lite but u have to give some more features thdn i will give u 5 stars.
my&f,1,2021-03-10,962,I'm glad that there's a lite version of instagram since my phone had issues with the actual app. This lite app works pretty good but with less feature this sucks. We need the pass through the posts. It's hilarious to open one by one.
