iter	RMSE
163	3189530.268
164	3189529.793
165	3189529.772
166	3189529.772
167	3189529.769
168	3189529.769
169	3189529.43
170	3189529.43
171	3189529.096
172	3189528.279
173	3189528.016
174	3189528.016
175	3189528.016
176	3189527.47
177	3189527.47
178	3189527.052
179	3189526.795
180	3189526.43
181	3189525.985
182	3189525.985
183	3189525.985
184	3189525.925
185	3189525.925
186	3189525.754
187	3189525.6
188	3189525.237
189	3189525.067
190	3189524.473
191	3189524.115
192	3189524.058
193	3189523.988
194	3189523.639
195	3189523.423
196	3189523.144
197	3189522.735
198	3189522.679
199	3189522.679
200	3189522.373
201	3189521.941
202	3189521.941
203	3189521.56
204	3189521.528
205	3189520.807
206	3189520.745
207	3189520.745
208	3189520.666
209	3189520.349
210	3189520.349
211	3189520.349
212	3189520.275
213	3189520.275
214	3189519.868
215	3189519.868
216	3189519.09
217	3189518.655
218	3189518.61
219	3189518.61
220	3189518.552
221	3189518.159
222	3189518.159
223	3189517.727
224	3189517.727
225	3189517.696
226	3189517.693
227	3189517.552
228	3189517.444
229	3189517.444
230	3189517.444
231	3189517.44
232	3189517.409
233	3189517.409
234	3189517.309
235	3189516.998
236	3189516.914
237	3189516.549
238	3189516.491
239	3189516.132
240	3189516.132
241	3189516.027
242	3189516.027
243	3189515.546
244	3189515.546
245	3189515.188
246	3189515.188
247	3189515.188
248	3189514.338
249	3189514.307
250	3189513.934
251	3189513.86
252	3189513.86
253	3189513.86
254	3189513.86
255	3189513.856
256	3189513.647
257	3189513.599
258	3189513.129
259	3189513.129
260	3189512.928
261	3189512.928
262	3189512.271
263	3189511.911
264	3189511.911
265	3189511.429
266	3189511.429
267	3189511.024
268	3189510.488
269	3189510.488
270	3189510.017
271	3189510.017
272	3189510.015
273	3189510.005
274	3189509.956
275	3189509.56
276	3189508.793
277	3189508.692
278	3189507.96
279	3189507.96
280	3189507.886
281	3189507.886
282	3189507.846
283	3189507.788
284	3189507.74
285	3189507.74
286	3189507.74
287	3189507.74
288	3189507.323
289	3189506.925
290	3189506.501
291	3189506.501
292	3189506.501
293	3189505.906
294	3189505.807
295	3189505.708
296	3189505.708
297	3189505.623
298	3189505.623
299	3189505.607
300	3189505.607
301	3189505.073
302	3189505.073
303	3189504.783
304	3189504.783
305	3189504.55
306	3189503.908
307	3189503.908
308	3189503.908
309	3189503.722
310	3189503.315
311	3189503.315
312	3189503.315
313	3189503.315
314	3189503.315
315	3189503.315
316	3189503.288
317	3189503.123
318	3189503.123
319	3189502.861
320	3189502.857
321	3189502.342
322	3189502.342
323	3189501.925
324	3189501.921
325	3189501.921
326	3189501.918
327	3189501.531
328	3189501.448
329	3189501.016
330	3189500.214
331	3189500.214
332	3189500.214
333	3189499.812
334	3189499.318
335	3189499.265
336	3189499.265
337	3189499.265
338	3189499.265
339	3189498.615
340	3189498.532
341	3189498.532
342	3189498.532
343	3189498.528
344	3189498.528
345	3189498.029
346	3189497.979
347	3189497.976
348	3189497.657
349	3189497.587
350	3189497.284
351	3189496.951
352	3189496.951
353	3189496.951
354	3189496.951
355	3189496.692
356	3189496.692
357	3189496.692
358	3189496.692
359	3189496.098
360	3189496.098
361	3189496.052
362	3189495.997
363	3189495.997
364	3189495.475
365	3189495.42
366	3189495.42
367	3189495.418
368	3189495.418
369	3189495.022
370	3189494.532
371	3189494.532
372	3189494.45
373	3189494.429
374	3189494.398
375	3189494.325
376	3189493.998
377	3189493.998
378	3189493.998
379	3189493.256
380	3189493.256
381	3189493.157
382	3189493.049
383	3189492.667
384	3189492.667
385	3189492.153
386	3189492.105
387	3189492.105
388	3189492.105
389	3189492.092
390	3189492.066
391	3189492.066
392	3189491.636
393	3189491.636
394	3189491.097
395	3189491.097
396	3189491.07
397	3189491.07
398	3189490.598
399	3189490.598
400	3189490.598
401	3189490.447
402	3189490.373
403	3189490.315
404	3189489.925
405	3189489.925
406	3189489.485
407	3189489.422
408	3189489.171
409	3189489.171
410	3189488.62
411	3189488.479
412	3189487.794
413	3189487.434
414	3189487.434
415	3189486.878
416	3189486.878
417	3189486.127
418	3189485.768
419	3189485.768
420	3189485.327
421	3189485.327
422	3189485.071
423	3189484.69
424	3189484.69
425	3189484.69
426	3189484.69
427	3189484.655
428	3189484.274
429	3189484.274
430	3189484.272
431	3189484.27
432	3189484.27
433	3189484.27
434	3189484.27
435	3189484.27
436	3189483.825
437	3189483.465
438	3189483.464
439	3189483.414
440	3189483.414
441	3189482.95
442	3189482.95
443	3189482.95
444	3189482.95
445	3189482.95
446	3189482.95
447	3189482.756
448	3189482.36
449	3189482.36
450	3189482.359
451	3189482.359
452	3189482.359
453	3189482.296
454	3189481.795
455	3189481.795
456	3189481.795
457	3189481.589
458	3189481.174
459	3189481.119
460	3189481.119
461	3189481.061
462	3189480.349
463	3189480.162
464	3189480.162
465	3189480.105
466	3189479.501
467	3189479.501
468	3189479.453
469	3189479.387
470	3189479.366
471	3189479.366
472	3189479.2
473	3189479.2
474	3189478.755
475	3189478.407
476	3189478.041
477	3189478.041
478	3189477.776
479	3189477.75
480	3189477.75
481	3189477.007
482	3189476.907
483	3189476.02
484	3189475.53
485	3189475.17
486	3189475.17
487	3189474.8
488	3189474.8
489	3189474.8
490	3189474.282
491	3189474.282
492	3189474.25
493	3189473.649
494	3189473.545
495	3189473.545
496	3189473.545
497	3189473.179
498	3189473.179
499	3189473.114
500	3189473.114
501	3189472.94
502	3189472.589
503	3189472.193
504	3189471.785
505	3189471.773
506	3189471.455
507	3189471.381
508	3189471.381
509	3189470.829
510	3189470.829
511	3189470.828
512	3189470.255
513	3189470.244
514	3189470.192
515	3189470.136
516	3189470.136
517	3189469.615
518	3189469.255
519	3189469.253
520	3189469.253
521	3189468.799
522	3189468.799
523	3189468.75
524	3189468.75
525	3189468.369
526	3189468.369
527	3189468.254
528	3189468.196
529	3189468.194
530	3189467.541
531	3189467.537
532	3189467.431
533	3189467.369
534	3189467.369
535	3189467.267
536	3189467.267
537	3189466.626
538	3189466.258
539	3189465.874
540	3189465.433
541	3189464.766
542	3189464.58
543	3189464.304
544	3189464.111
545	3189464.111
546	3189464.037
547	3189463.981
548	3189463.846
549	3189463.843
550	3189463.843
551	3189463.843
552	3189463.761
553	3189463.761
554	3189463.721
555	3189463.721
556	3189463.608
557	3189463.608
558	3189463.608
559	3189463.515
560	3189463.025
561	3189463.025
562	3189463.02
563	3189463.02
564	3189462.441
565	3189462.349
566	3189462.349
567	3189462.349
568	3189462.349
569	3189462.294
570	3189462.294
571	3189461.909
572	3189461.909
573	3189461.817
574	3189461.228
575	3189461.216
576	3189460.758
577	3189460.659
578	3189460.659
579	3189460.088
580	3189459.729
581	3189459.542
582	3189459.542
583	3189459.542
584	3189459.173
585	3189459.173
586	3189459.173
587	3189459.173
588	3189459.173
589	3189459.173
590	3189458.791
591	3189458.791
592	3189458.463
593	3189458.436
594	3189458.436
595	3189458.337
596	3189458.306
597	3189458.306
598	3189458.306
599	3189457.721
600	3189457.336
601	3189456.986
602	3189456.986
603	3189456.911
604	3189456.178
605	3189456.116
606	3189456.116
607	3189456.08
608	3189456.075
609	3189455.978
610	3189455.537
611	3189455.049
612	3189454.792
613	3189454.792
614	3189454.792
615	3189454.411
616	3189454.021
617	3189453.579
618	3189453.221
619	3189453.221
620	3189453.221
621	3189453.221
622	3189453.12
623	3189453.12
624	3189452.767
625	3189452.755
626	3189452.728
627	3189452.728
628	3189452.21
629	3189452.21
630	3189451.851
631	3189451.43
632	3189451.348
633	3189450.732
634	3189450.334
635	3189450.234
636	3189450.234
637	3189449.724
638	3189449.712
639	3189449.439
640	3189449.289
641	3189448.857
642	3189448.198
643	3189448.198
644	3189447.874
645	3189447.874
646	3189447.761
647	3189447.761
648	3189447.761
649	3189447.704
650	3189447.332
651	3189447.332
652	3189447.232
653	3189446.421
654	3189446.356
655	3189446.299
656	3189445.526
657	3189445.526
658	3189445.183
659	3189445.183
660	3189445.183
661	3189444.416
662	3189444.416
663	3189444.029
664	3189444.029
665	3189443.879
666	3189443.879
667	3189443.824
668	3189443.824
669	3189443.824
670	3189443.813
671	3189443.755
672	3189443.752
673	3189443.741
674	3189443.361
675	3189442.957
676	3189442.955
677	3189442.266
678	3189441.958
679	3189441.545
680	3189441.545
681	3189441.545
682	3189441.465
683	3189441.074
684	3189440.644
685	3189440.153
686	3189439.732
687	3189439.556
688	3189439.553
689	3189439.07
690	3189439.07
691	3189439.023
692	3189438.965
693	3189438.835
694	3189438.773
695	3189438.725
696	3189438.393
697	3189438.39
698	3189437.971
699	3189437.491
700	3189437.417
701	3189436.913
702	3189436.555
703	3189436.5
704	3189436.395
705	3189436.395
706	3189436.395
707	3189436.395
708	3189436.395
709	3189436.374
710	3189436.303
711	3189436.303
712	3189436.303
713	3189436.017
714	3189436.017
715	3189435.978
716	3189435.951
717	3189435.509
718	3189435.509
719	3189435.509
720	3189435.509
721	3189435.076
722	3189435.076
723	3189434.569
724	3189434.158
725	3189434.156
726	3189434.156
727	3189433.601
728	3189433.488
729	3189433.488
730	3189433.145
731	3189432.691
732	3189432.691
733	3189432.163
734	3189432.163
735	3189432.163
736	3189432.005
737	3189431.905
738	3189431.513
739	3189431.513
740	3189431.139
741	3189430.965
742	3189430.963
743	3189430.905
744	3189430.709
745	3189430.193
746	3189429.536
747	3189429.525
748	3189429.445
749	3189429.076
750	3189429.076
751	3189429.072
752	3189429.072
753	3189429.072
754	3189428.905
755	3189428.905
756	3189428.905
757	3189428.858
758	3189428.858
759	3189428.701
760	3189428.672
761	3189428.276
762	3189427.785
763	3189427.303
764	3189427.303
765	3189427.303
766	3189427.303
767	3189427.229
768	3189427.149
769	3189426.768
770	3189426.768
771	3189426.218
772	3189426.159
773	3189426.159
774	3189426.159
775	3189426.159
776	3189425.889
777	3189425.579
778	3189424.761
779	3189424.263
780	3189424.114
781	3189424.027
782	3189423.946
783	3189423.946
784	3189423.587
785	3189423.587
786	3189423.587
787	3189423.587
788	3189423.587
789	3189423.538
790	3189423.464
791	3189423.454
792	3189423.399
793	3189423.145
794	3189423.086
795	3189423.012
796	3189422.911
797	3189422.911
798	3189422.582
799	3189421.885
800	3189421.449
801	3189421.449
802	3189421.369
803	3189421.369
804	3189421.341
805	3189421.341
806	3189421.195
807	3189421.195
808	3189420.813
809	3189420.26
810	3189420.173
811	3189419.513
812	3189419.455
813	3189419.171
814	3189418.711
815	3189418.711
816	3189418.705
817	3189418.674
818	3189418.674
819	3189418.674
820	3189418.674
821	3189418.674
822	3189418.525
823	3189418.102
824	3189418.102
825	3189418.101
826	3189418.101
827	3189417.712
828	3189417.241
829	3189417.131
830	3189417.131
831	3189417.131
832	3189416.858
833	3189416.858
834	3189416.858
835	3189416.858
836	3189416.778
837	3189416.093
838	3189415.785
839	3189415.785
840	3189415.785
841	3189415.711
842	3189415.706
843	3189415.558
844	3189415.478
845	3189414.845
846	3189414.731
847	3189414.331
848	3189414.055
849	3189413.704
850	3189413.35
851	3189412.88
852	3189412.627
853	3189412.559
854	3189412.559
855	3189412.559
856	3189412.559
857	3189412.2
858	3189412.2
859	3189412.2
860	3189412.2
861	3189412.038
862	3189412.038
863	3189412.038
864	3189411.678
865	3189411.678
866	3189411.253
867	3189410.813
868	3189410.397
869	3189410.298
870	3189409.938
871	3189409.355
872	3189409.355
873	3189409.082
874	3189409.061
875	3189409.061
876	3189409.061
877	3189408.748
878	3189408.644
879	3189408.644
880	3189408.283
881	3189408.283
882	3189408.242
883	3189408.093
884	3189408.093
885	3189408.093
886	3189408.03
887	3189408.03
888	3189407.999
889	3189407.614
890	3189407.554
891	3189407.304
892	3189407.293
893	3189407.293
894	3189407.293
895	3189407.293
896	3189406.69
897	3189406.225
898	3189406.091
899	3189405.676
900	3189405.463
901	3189405.085
902	3189405.085
903	3189405.037
904	3189404.985
905	3189404.982
906	3189404.956
907	3189404.956
908	3189404.907
909	3189404.176
910	3189404.173
911	3189404.115
912	3189404.115
913	3189404.115
914	3189403.968
915	3189403.968
916	3189403.968
917	3189403.868
918	3189403.419
919	3189403.419
920	3189402.591
921	3189402.591
922	3189402.589
923	3189402.094
924	3189402.094
925	3189402.094
926	3189402.094
927	3189402.094
928	3189402.094
929	3189401.65
930	3189401.65
931	3189401.65
932	3189401.65
933	3189401.65
934	3189401.285
935	3189400.697
936	3189400.697
937	3189400.641
938	3189400.499
939	3189400.054
940	3189400.054
941	3189400.054
942	3189399.98
943	3189399.947
944	3189399.732
945	3189399.683
946	3189399.609
947	3189399.609
948	3189399.082
949	3189399.019
950	3189398.622
951	3189398.544
952	3189398.122
953	3189397.569
954	3189397.569
955	3189397.569
956	3189397.569
957	3189397.569
958	3189397.569
959	3189397.506
960	3189397.402
961	3189397.402
962	3189397.267
963	3189397.267
964	3189396.733
965	3189396.733
966	3189396.242
967	3189395.853
968	3189395.853
969	3189395.853
970	3189395.822
971	3189395.505
972	3189395.147
973	3189395
974	3189395
975	3189394.561
976	3189394.205
977	3189394.205
978	3189394.205
979	3189394.205
980	3189393.682
981	3189393.574
982	3189393.5
983	3189393.451
984	3189393.451
985	3189393.392
986	3189393.344
987	3189393.286
988	3189392.808
989	3189392.808
990	3189392.586
991	3189392.34
992	3189392.274
993	3189392.22
994	3189392.22
995	3189391.955
996	3189391.955
997	3189391.955
998	3189391.945
999	3189391.945
